Date,open,high,low,Close,adjusted_close,volume
12-04-2019,779,786.35,774.55,785.35,785.35,3161818
11-04-2019,790.4,795.75,779.5,782.85,782.85,1683293
10-04-2019,786.05,798.95,786,790.25,790.25,2497013
09-04-2019,790.35,797.7,787.3,789.5,789.5,2128462
08-04-2019,779.7,790,773.4,787.15,787.15,1368825
05-04-2019,779,787.1,774.5,777.25,777.25,1367411
04-04-2019,777.9,781.75,767.25,774.5,774.5,1751584
03-04-2019,792.45,793.35,776.25,777.7,777.7,1467406
02-04-2019,790.95,794,785.05,792.45,792.45,2596840
01-04-2019,782.85,794.8,779,785.5,785.5,3433947
28-03-2019,770,782,768.05,771.7,771.7,3908706
27-03-2019,771,773,761.6,764.95,764.95,3893738
26-03-2019,790.2,791.9,768.15,770.75,770.75,3169827
25-03-2019,792,795.45,786.4,789.6,789.6,1861646
22-03-2019,794.5,798,783.2,788.75,788.75,2815749
20-03-2019,797,806.2,787.3,789.85,789.85,3331375
19-03-2019,793.5,797.45,783.25,794.65,794.65,2413153
18-03-2019,804.95,805.7,782.25,788.6,788.6,3379301
15-03-2019,794,807.5,787,799.3,799.3,3854238
14-03-2019,792.1,795,775,788.45,788.45,3112666
13-03-2019,808.9,816,788,789.95,789.95,4815576
12-03-2019,811,813.75,801.15,804.7,804.7,2793702
11-03-2019,812,814.4,803,807.15,807.15,2699806
08-03-2019,810.2,813.5,802.6,811.35,811.35,1437045
07-03-2019,823.55,825.45,806.25,808.25,808.25,2306250
06-03-2019,812,829.7,812,823.55,823.55,3999053
05-03-2019,822.5,824.7,808.05,810,810,4927644
01-03-2019,831,836.5,829.1,831.8,831.8,3820707
28-02-2019,833,838.4,825,830.15,830.15,6409662
27-02-2019,836.4,837.95,820.6,825.6,825.6,3703224
26-02-2019,825,838.4,820.6,833.3,833.3,3319590
25-02-2019,830.2,832.9,822.5,830.65,830.65,2881535
22-02-2019,824.9,829.75,818.1,826,826,4789937
21-02-2019,814,840,809.1,820.65,820.65,14193982
20-02-2019,794.05,816.25,785.25,812.4,812.4,3340240
19-02-2019,807,809,788.85,791,791,2372030
18-02-2019,815,822,800.5,803.45,803.45,3851335
15-02-2019,804.8,804.8,777.25,799.65,799.65,4312334
14-02-2019,805.8,811.75,800.4,805.9,805.9,2464657
12-02-2019,809.9,814.9,796.45,805.15,805.15,2416559
11-02-2019,809,813.9,804,809.4,809.4,2541742
08-02-2019,800,818,800,805.55,805.55,5242725
07-02-2019,809,816.2,798.1,805,805,4966655
06-02-2019,784,814.5,774,811.35,811.35,14860848
05-02-2019,752,760,740.2,751,751,2446263
04-02-2019,749,752.25,736.6,749.15,749.15,1518373
01-02-2019,732.95,750.6,728,746.6,746.6,2260029
31-01-2019,718,736.7,718,731.9,731.9,3253640
30-01-2019,732,733.4,711.75,714.6,714.6,2139900
29-01-2019,735.2,742.4,721.4,731.5,731.5,3100457
28-01-2019,732.2,738,721.15,735.15,735.15,1804582
25-01-2019,732,735.2,724,729.05,729.05,2528541
24-01-2019,724,730,716.5,727.75,727.75,1849102
23-01-2019,714,725.9,711,720.7,720.7,1965283
22-01-2019,714,720,701.8,714.2,714.2,2839669
21-01-2019,710.35,721.4,709,713.9,713.9,2586962
18-01-2019,705,714.2,702.35,709.15,709.15,1888004
17-01-2019,699.5,709.1,696,705.55,705.55,1434040
16-01-2019,705,705,697,699.9,699.9,1922647
15-01-2019,682.95,710.8,682.05,706.25,706.25,2491520
14-01-2019,703,703.1,676.9,679.85,679.85,1558602
11-01-2019,694,701.25,687,699.2,699.2,1849817
10-01-2019,695,696.95,689.15,694.55,694.55,1454656
09-01-2019,694.2,701.4,684,693.7,693.7,2183998
08-01-2019,688,692.4,685.2,689.85,689.85,1300906
07-01-2019,685,690.85,682.55,687.5,687.5,1885000
04-01-2019,694.45,697.05,672.5,681.1,681.1,3926171
03-01-2019,715.05,716,685.25,691.25,691.25,3558015
02-01-2019,719.15,729.7,709.25,712.05,712.05,2576769
01-01-2019,715,721.45,715,719.1,719.1,815535
31-12-2018,720,726.45,715.1,723.15,723.15,1814655
28-12-2018,710,718.4,710,714,714,1863654
27-12-2018,702,713.5,696.15,708.9,708.9,3018106
26-12-2018,695.9,697.9,686,693.55,693.55,1881689
24-12-2018,699,704.9,690.6,697.9,697.9,1472565
21-12-2018,710,713.5,693,695.75,695.75,2063928
20-12-2018,702,717,702,707.75,707.75,1817880
19-12-2018,709,714.05,691.9,709.45,709.45,2702676
18-12-2018,715,716.55,704.2,709,709,1905592
17-12-2018,712.5,722.5,711.5,719.75,719.75,1435014
14-12-2018,709.15,716.8,705.1,712.2,712.2,1982037
13-12-2018,706,713,697.1,709.3,709.3,2593714
12-12-2018,700,711.2,690.55,705.35,705.35,2355119
11-12-2018,690,708.9,685,695.3,695.3,3495336
10-12-2018,687,705,680.05,687.9,687.9,2334813
07-12-2018,698,703.95,685.15,694.25,694.25,2423892
06-12-2018,724,724,690.6,696.4,696.4,3467903
05-12-2018,711.05,739.9,711.05,726.85,726.85,4864922
04-12-2018,712.7,724.75,704.55,723.55,723.55,2896702
03-12-2018,706.8,717.65,703.7,712.7,712.7,2410009
30-11-2018,688.8,709.9,686.95,705.95,705.95,3292579
29-11-2018,706,706,685.25,687.5,687.5,2351937
28-11-2018,701,705.9,692,697.5,697.5,2767316
27-11-2018,695.7,708.3,685.05,694.15,694.15,2560757
26-11-2018,688,698.75,671,694.5,694.5,2993915
22-11-2018,702.7,710,685.45,690.8,690.8,4031353
21-11-2018,709.7,709.8,684.25,690.65,690.65,3108345
20-11-2018,732.5,732.5,704.05,709.7,709.7,2667937
19-11-2018,730,734.75,724.25,732.55,732.55,2212804
16-11-2018,714.7,732.3,711,728,728,2874046
15-11-2018,702,721.9,697.35,714.9,714.9,4485617
14-11-2018,725,727.9,692.1,700.25,700.25,3367710
13-11-2018,719.95,739.35,718,728.05,728.05,4401141
12-11-2018,707.2,731.35,693.1,724.55,724.55,4696550
09-11-2018,704,711,696.2,707.2,707.2,2573761
07-11-2018,699,699,693,697.25,697.25,111376
06-11-2018,696.35,704.5,691.6,694.55,694.55,1752227
05-11-2018,692,708.7,690.1,696.35,696.35,2782174
02-11-2018,721.6,727.85,687.5,690.9,690.9,4445407
01-11-2018,747,747,714.1,720.7,720.7,3999401
31-10-2018,695,748.8,672.45,743.9,743.9,13010741
30-10-2018,658,692.45,657.9,685.1,685.1,3825436
29-10-2018,663,669.05,644,664.25,664.25,1942428
26-10-2018,655.95,656.9,640.4,653.3,653.3,1397821
25-10-2018,660.75,666.15,649.05,651.4,651.4,2142283
24-10-2018,668,675,646,667.4,667.4,3180852
23-10-2018,676,683.9,666,668.25,668.25,1656193
22-10-2018,688,690,664.65,676.55,676.55,3293136
19-10-2018,710,711.55,688.4,690.8,690.8,2049802
17-10-2018,721,735,717.6,720.5,720.5,3320857
16-10-2018,695,727.6,694.55,718.7,718.7,2889306
15-10-2018,693.5,709.4,681.45,694.55,694.55,4146878
12-10-2018,692.05,702.55,688,693.8,693.8,2727205
11-10-2018,680,702.05,677.65,695.45,695.45,3611423
10-10-2018,692.1,714,691.05,699.3,699.3,3409416
09-10-2018,695,705,690.7,696.1,696.1,2729413
08-10-2018,714.5,719.4,683.65,694.9,694.9,2643927
05-10-2018,718,723.9,695.5,714.5,714.5,4769105
04-10-2018,742.55,742.9,713,719.85,719.85,6561009
03-10-2018,764,780.8,744.4,750.15,750.15,5236214
01-10-2018,749,763.5,741.7,759.55,759.55,2233369
28-09-2018,738,756,725,745.5,745.5,2971384
27-09-2018,748.85,758.95,737.2,746.05,746.05,3479414
26-09-2018,758.55,768.15,739.05,748.85,748.85,3224771
25-09-2018,751.45,772.7,745.1,758.75,758.75,2812964
24-09-2018,740,764,737.55,751.45,751.45,2811682
21-09-2018,765,769.35,693,738.05,738.05,4434535
19-09-2018,757,772,751.2,769.95,769.95,2025718
18-09-2018,769.85,769.85,750,754.7,754.7,2206998
17-09-2018,759.5,772.75,755,767.55,767.55,2233000
